id,indexs,stock,spread,,,,,,,,,,,,
110,10874,2.78,3911.510791,,,,,,,,,,,,
111,10876.5,2.78,3912.410072,,,,,,,,,,,,
112,10869,2.78,3909.71223,,,,,,,,,,,,
113,10861.5,2.78,3907.014388,,,,,,,,,,,,
114,10851,2.78,3903.23741,,,,,,,,,,,,
115,10831,2.78,3896.043165,,,,,,,,,,,,
116,10834,2.78,3897.122302,,,,,,,,,,,,
117,10829,2.79,3881.362007,,,,,,,,,,,,
118,10829,2.79,3881.362007,,,,,,,,,,,,
119,10826,2.79,3880.286738,,,,,,,,,,,,
120,10826,2.79,3880.286738,,,,,,,,,,,,
121,10829,2.79,3881.362007,,,,,,,,,,,,
122,10829,2.79,3881.362007,,,,,,,,,,,,
123,10829,2.79,3881.362007,,,,,,,,,,,,
124,10829,2.79,3881.362007,,,,,,,,,,,,
125,10825.5,2.79,3880.107527,,,,,,,,,,,,
126,10825.5,2.79,3880.107527,,,,,,,,,,,,
127,10825.5,2.79,3880.107527,,,,,,,,,,,,
128,10824,2.79,3879.569892,,,,,,,,,,,,
129,10824,2.79,3879.569892,,,,,,,,,,,,
130,10819,2.79,3877.777778,,,,,,,,,,,,
131,10819,2.79,3877.777778,,,,,,,,,,,,
132,10821,2.79,3878.494624,,,,,,,,,,,,
133,10821.5,2.79,3878.673835,,,,,,,,,,,,
134,10821.5,2.79,3878.673835,,,,,,,,,,,,
135,10826,2.79,3880.286738,,,,,,,,,,,,
136,10826,2.79,3880.286738,,,,,,,,,,,,
137,10826,2.79,3880.286738,,,,,,,,,,,,
138,10824,2.79,3879.569892,,,,,,,,,,,,
139,10824,2.79,3879.569892,,,,,,,,,,,,
140,10821,2.79,3878.494624,,,,,,,,,,,,
141,10821,2.79,3878.494624,,,,,,,,,,,,
142,10821,2.79,3878.494624,,,,,,,,,,,,
143,10821,2.79,3878.494624,,,,,,,,,,,,
144,10821,2.79,3878.494624,,,,,,,,,,,,
145,10821,2.79,3878.494624,,,,,,,,,,,,
146,10821,2.79,3878.494624,,,,,,,,,,,,
147,10826.5,2.79,3880.46595,,,,,,,,,,,,
148,10824,2.79,3879.569892,,,,,,,,,,,,
149,10826.5,2.79,3880.46595,,,,,,,,,,,,
150,10834,2.79,3883.154122,,,,,,,,,,,,
151,10834,2.79,3883.154122,,,,,,,,,,,,
152,10831,2.79,3882.078853,,,,,,,,,,,,
153,10829,2.78,3895.323741,,,,,,,,,,,,
154,10849,2.78,3902.517986,,,,,,,,,,,,
155,10831,2.78,3896.043165,,,,,,,,,,,,
156,10832.5,2.78,3896.582734,,,,,,,,,,,,
157,10832.5,2.78,3896.582734,,,,,,,,,,,,
158,10836.5,2.78,3898.021583,,,,,,,,,,,,
159,10836.5,2.78,3898.021583,,,,,,,,,,,,
160,10836.5,2.78,3898.021583,,,,,,,,,,,,
